geo_type,region,transportation_type,alternative_name,sub.region,country,date,relative_mobility
city,Phoenix,driving,NA,Arizona,United States,2020-04-06,53.65
city,Phoenix,driving,NA,Arizona,United States,2020-04-07,55.23
city,Phoenix,driving,NA,Arizona,United States,2020-04-08,55.34
city,Phoenix,driving,NA,Arizona,United States,2020-04-09,57.84
city,Phoenix,driving,NA,Arizona,United States,2020-04-10,64.9
city,Phoenix,driving,NA,Arizona,United States,2020-04-11,56.81
city,Phoenix,driving,NA,Arizona,United States,2020-04-12,36.59
city,Phoenix,driving,NA,Arizona,United States,2020-04-13,56.36
city,Phoenix,driving,NA,Arizona,United States,2020-04-14,58.32
city,Phoenix,driving,NA,Arizona,United States,2020-04-15,63.09
city,Phoenix,driving,NA,Arizona,United States,2020-04-16,63.64
city,Phoenix,driving,NA,Arizona,United States,2020-04-17,72.41
city,Phoenix,driving,NA,Arizona,United States,2020-04-18,65.56
city,Phoenix,driving,NA,Arizona,United States,2020-04-19,50.41
city,Phoenix,driving,NA,Arizona,United States,2020-04-20,64.17
city,Phoenix,driving,NA,Arizona,United States,2020-04-21,63.3
city,Phoenix,driving,NA,Arizona,United States,2020-04-22,64.67
city,Phoenix,driving,NA,Arizona,United States,2020-04-23,67.15
city,Phoenix,driving,NA,Arizona,United States,2020-04-24,74.82
city,Phoenix,driving,NA,Arizona,United States,2020-04-25,68.52
city,Phoenix,driving,NA,Arizona,United States,2020-04-26,51.95
city,Phoenix,driving,NA,Arizona,United States,2020-04-27,65.42
city,Phoenix,driving,NA,Arizona,United States,2020-04-28,66.69
city,Phoenix,driving,NA,Arizona,United States,2020-04-29,68.25
city,Phoenix,driving,NA,Arizona,United States,2020-04-30,71.37
city,Phoenix,driving,NA,Arizona,United States,2020-05-01,81.61
city,Phoenix,driving,NA,Arizona,United States,2020-05-02,75.87
city,Phoenix,driving,NA,Arizona,United States,2020-05-03,56.97
city,Phoenix,driving,NA,Arizona,United States,2020-05-04,71.39
city,Phoenix,driving,NA,Arizona,United States,2020-05-05,74.3
city,Phoenix,driving,NA,Arizona,United States,2020-05-06,73.47
city,Phoenix,driving,NA,Arizona,United States,2020-05-07,75.86
city,Phoenix,driving,NA,Arizona,United States,2020-05-08,87.05
city,Phoenix,driving,NA,Arizona,United States,2020-05-09,81.47
city,Phoenix,driving,NA,Arizona,United States,2020-05-10,58.8
city,Phoenix,driving,NA,Arizona,United States,2020-05-11,NA
city,Phoenix,driving,NA,Arizona,United States,2020-05-12,NA
city,Phoenix,driving,NA,Arizona,United States,2020-05-13,82.76
city,Phoenix,driving,NA,Arizona,United States,2020-05-14,86.16
city,Phoenix,driving,NA,Arizona,United States,2020-05-15,99.27
city,Phoenix,driving,NA,Arizona,United States,2020-05-16,94.46
city,Phoenix,driving,NA,Arizona,United States,2020-05-17,73.32
city,Phoenix,driving,NA,Arizona,United States,2020-05-18,89.59
